,Q1 2026 (as of 4/07/26),Notes
"Audience ""Health""",,
Number subscribed,8343,
Unsubscribes,448,Some of this is likely due to adding folks in batches from events like our town halls.
Growth,312,Some of this is likely due to adding folks in batches from events like our town halls.
,,
,,
,,
,,
,,
,,
Communications,,
Total number of emails sent (excluding newsletters),46,
"One-off campaigns (action alerts, events, advocacy, media advisories)",38,
Resends,5,
Newsletters,3,
Newsletter avg open rate,26.80%,Highest was the Jan Newsletter (Mayor's report card); Lowest was the Mar newsletter (social events)
Newsletter avg click rate,1.70%,
,,
,,
,,
,,
,,
,,
,,
,,
Advocacy,,
Avg. open rate (excluding newsletters),20.10%,
Avg. click rate (excluding newsletters),1.50%,
Advocacy actions taken by supporters ,443,These are emails sent by advocates via pre-filled email forms in the Muster platform.
Avg advocate emails sent per action (4),111,
Topic with highest number of advocacy emails sent by supporters,Alameda,"Could be because it felt like a textbook case of unfairness (or because our messaging framed it that way), or because it's a privileged area that many of our supporters use/care about."
Topic with lowest number of advocacy emails sent by supporters,311 Day of Action,"Likely because our most engaged supporters were doing activities in real life instead. Could also be because we billed it heavily as an action to take on one specific day, and if folks missed it they maybe felt it wouldn't have the same impact."
Average customization rate,53.70%,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
AI Insights from Mail Chimp,,
"Consistently only seeing around .3% unsub rate for full list emails, which is normal. Slightly higher for hyper-local segmented emails.",,
"Desktop dominates engagement: 77-82% of all clicks happen on desktop, which is unusually high compared to typical consumer email benchmarks (often 50-60% mobile). This is likely because your audience is taking action during work hours or researching issues on larger screens where they can easily complete forms, read detailed content, or contact officials",,
Mobile engagement is consistent: 14-15% mobile clicks across both campaign types suggests your mobile experience is stable but secondary,,
"Desktop users are ""super-engagers"": Desktop users click 2.8x more frequently than mobile users (4.10 vs 1.44 clicks per open)",,
"Desktop = action-taking behavior: This pattern strongly suggests desktop users are more likely to complete your advocacy actions—they're not just clicking once, they're engaging with multiple links or returning to complete forms",,
"Mobile = lower engagement intensity: While you have 631 mobile clickers (nearly as many as desktop's 764), they generate far fewer total clicks, indicating mobile users may be browsing but less likely to complete multi-step actions",,
"Your newsletter open rates are strong and consistent (~27%), a little below the civic/social organization benchmark of 28%.",,
"Highly segmented emails dominate — Your best performers (63.5%, 49.2% open rates) are small, targeted sends to previous action-takers and event participants",,
"Urgency + specificity works — The 🚨 Alameda emails and ""Last chance"" messaging consistently outperform generic asks",,
Follow-up emails to engaged contacts are goldmines — Emailing previous action-takers yields 2-3x higher engagement than your full list,,
"Advocacy emails lag behind newsletters: Your newsletters average 26.8% open rate vs 20.1% for advocacy campaigns, and below civic benchmark of 28%",,
"Click rates between newsletters and advocacy emails are similar: Advocacy (1.5%) vs newsletters (1.7%)—only a 0.2 point difference, suggesting engagement quality is consistent once people open",,
,,
,,
,,
,,
,,
,,
AI Recommendations,,
"Optimize desktop CTAs for multiple actions: Since desktop users engage deeply, design emails with multiple clear action opportunities (primary action, secondary share/forward, tertiary learn more)",,
"Simplify mobile CTAs: For mobile viewers, prioritize a single, prominent call-to-action that's easy to tap and complete on a smaller screen",,
"Stop resending to full lists — Your resends get 0.1-0.24% click rates. Instead, segment non-openers by topic interest and send them something new",,
"To increase newsletter open rates: send mid-week, use urgent, specific, or curiosity-provoking/slightly provocative subject lines, clean list of consistent non-openers",,
"To increase advocacy email open and click rates, send on Tuesdays or Fridays",,
