# ----------------------------------------
# Landing page: Landing page
# Account: Denver Streets Partnership
# Property: Denver Streets Partnership
# ----------------------------------------
# 
# All Users
# Start date: 20260506
# End date: 20260602
Landing page,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/,487,415,385,42.006160164271044,0,0,0
/colorado-brt-comment-guide,375,312,292,45.202666666666666,0,0,0
/what-we-do/colorado-boulevard,244,179,165,60.299180327868854,0,0,0
(not set),163,89,0,15.030674846625766,0,0,0
/events,98,57,42,50.04081632653061,0,0,0
/about,89,71,65,21.1123595505618,0,0,0
/what-we-do/sidewalks,58,50,48,16.413793103448278,0,0,0
/project/viva-streets-denver,39,33,31,15.307692307692308,0,0,0
/donate,33,17,15,2.9393939393939394,0,0,0
/what-we-do/colfax,28,27,24,42.25,0,0,0
/what-we-do/tactical-urbanism,26,26,26,33.34615384615385,0,0,0
/about/work-with-us,25,18,13,44.64,0,0,0
/denver-streets-congress,23,19,15,11.565217391304348,0,0,0
/what-we-do/federal-boulevard,22,19,17,15.090909090909092,0,0,0
/what-we-do/vision-zero-denver,17,12,12,23.941176470588236,0,0,0
/colorado-brt,16,15,13,16.375,0,0,0
/get-involved/fix-my-street-guide,16,7,6,8.5,0,0,0
/project/get-on-the-bus-its-time-to-make-denvers-transit-better,16,3,3,3.9375,0,0,0
/mayors-report-card,15,10,8,7.133333333333334,0,0,0
/our-impact/press,15,14,14,68.2,0,0,0
/what-we-do/transportation-funding,15,15,13,19.733333333333334,0,0,0
/project/bus-rapid-transit-on-federal,14,14,11,36.214285714285715,0,0,0
/cloverleaf,13,12,11,44.84615384615385,0,0,0
/get-involved/contact,13,13,9,11.307692307692308,0,0,0
/what-we-do/little-saigon,13,10,10,17.615384615384617,0,0,0
/why-denver-should-support-the-womens-soccer-stadium-at-santa-fe-yards-and-why-public-investment-must-be-done-right,13,9,7,5.153846153846154,0,0,0
/about/strategic-framework,12,10,6,39.583333333333336,0,0,0
/e-bikes-for-deliveries,12,12,11,22.583333333333332,0,0,0
