# ----------------------------------------
# Tech overview
# Account: Denver Streets Partnership
# Property: Denver Streets Partnership
# ----------------------------------------
#  
# Start date: 20260506
# End date: 20260602
Platform,Active users
"[""Web""]",1820

#  
# Start date: 20260506
# End date: 20260602
Operating system,Active users
Windows,796
iOS,484
Macintosh,274
Android,187
Linux,56
Chrome OS,17

#  
# Start date: 20260506
# End date: 20260602
Platform / device category,Active users
web / desktop,1150
web / mobile,646
web / tablet,25

#  
# Start date: 20260506
# End date: 20260602
Browser,Active users
Chrome,1177
Safari,470
Edge,74
Firefox,43
Safari (in-app),24
Android Webview,15
Samsung Internet,6
Amazon Silk,2
Opera,2
Mozilla Compatible Agent,1

#  
# Start date: 20260506
# End date: 20260602
Device category,Active users
desktop,1150
mobile,646
tablet,25

#  
# Start date: 20260506
# End date: 20260602
Screen resolution,Active users
1280x1200,397
1920x1080,197
414x896,165
402x874,96
390x844,91
800x600,82
393x852,81
1440x900,50
1536x864,48
375x667,43
1280x720,38
2560x1440,32
1280x800,31
375x812,31
412x915,27
1512x982,25
2000x2000,25
440x956,24
1470x956,23
384x832,23
360x780,21
1536x960,16
430x932,16
1366x768,15
1728x1117,13
3440x1440,13
428x926,12
1710x1107,11
1920x1200,11
412x924,10
1600x900,9
360x800,9
1280x1024,8
427x952,8
810x1080,8
820x1180,8
834x1194,7
1680x1050,6
2240x1260,6
320x693,6
1920x890,5
2560x1080,5
320x568,5
412x892,5
320x658,4
320x8696,4
412x883,4
420x912,4
1024x1366,3
1080x600,3
1440x810,3
1500x1000,3
1707x1067,3
2048x1152,3
384x854,3
384x857,3
412x919,3
686x1098,3
1024x1024,2
1032x1376,2
1241x697,2
1280x960,2
1300x730,2
1440x932,2
1504x846,2
1512x851,2
1792x1120,2
1800x1125,2
1800x1169,2
1920x1243,2
339x727,2
342x760,2
3840x1600,2
384x824,2
412x869,2
412x917,2
432x960,2
444x987,2
448x998,2
768x1024,2
800x1280,2
834x1210,2
1000x600,1
1011x859,1
1024x768,1
1025x884,1
1041x586,1
1050x656,1
1065x542,1
1076x542,1
1080x670,1
1080x678,1
1080x682,1
1112x743,1
1115x810,1
1146x718,1
1180x688,1
1180x734,1
1180x820,1
1181x664,1
1184x684,1
1188x668,1
1194x633,1
1194x669,1
1194x698,1
1194x740,1
1197x673,1
1199x707,1
1200x1920,1
1208x679,1
1216x811,1
1264x760,1
1280x1280,1
1280x721,1
1280x854,1
1281x721,1
1281x800,1
1320x847,1
1334x800,1
1352x878,1
1366x1366,1
1366x856,1
1366x886,1
1366x900,1
1368x912,1
1376x738,1
1378x865,1
1397x786,1
1400x876,1
1418x798,1
1427x951,1
1436x808,1
1438x763,1
1440x3000,1
1440x707,1
1440x820,1
1440x850,1
1440x888,1
1440x960,1
1461x936,1
1470x743,1
1470x758,1
1494x934,1
1496x825,1
1496x967,1
1504x1003,1
1512x774,1
1512x786,1
1512x859,1
1513x851,1
1517x852,1
1523x1301,1
1536x1024,1
1549x871,1
1561x1093,1
1584x988,1
1586x946,1
1588x893,1
1600x1200,1
1600x1600,1
1621x1013,1
1628x864,1
1628x916,1
1639x1025,1
1664x1110,1
1664x998,1
1684x1060,1
1700x897,1
1703x931,1
1710x1112,1
1715x965,1
1739x979,1
1746x982,1
1805x1204,1
1920x1035,1
1920x919,1
2134x1200,1
2170x1221,1
2195x1235,1
2304x1296,1
2400x1350,1
2469x1319,1
2560x1297,1
2560x1441,1
2560x1600,1
2603x1464,1
2752x1152,1
2867x1200,1
2880x1620,1
3003x1257,1
3008x1692,1
320x687,1
320x694,1
320x712,1
3360x1890,1
339x735,1
339x753,1
347x772,1
347x774,1
352x781,1
353x765,1
3590x1010,1
360x740,1
360x760,1
360x806,1
360x820,1
368x821,1
376x835,1
384x811,1
385x833,1
386x860,1
390x8139,1
393x873,1
396x880,1
408x884,1
412x1006,1
412x732,1
412x960,1
414x1012,1
414x924,1
424x945,1
432x984,1
434x965,1
444x980,1
444x988,1
486x1090,1
504x1122,1
600x800,1
697x786,1
744x1047,1
744x1133,1
768x823,1
810x948,1
820x1000,1
820x1019,1
832x384,1
834x1112,1
876x1400,1
915x412,1
978x751,1

#  
# Start date: 20260506
# End date: 20260602
Nth day


#  
# Start date: 20260506
# End date: 20260602
App,Version,Status


#  
# Start date: 20260602
# End date: 20260602
App,Crash-free users


# Start date: 20260601
# End date: 20260601
App,Crash-free users


#  
# Start date: 20260506
# End date: 20260602
Device model,Active users
